,0
epoch_12,0.608275243902439
epoch_1,0.6465065853658537
epoch_2,0.6464801707317074
epoch_7,0.6155499024390243
epoch_10,0.610663
epoch_15,0.6072042926829267
epoch_14,0.6076768536585365
epoch_17,0.6060519756097561
epoch_3,0.6464114878048781
epoch_19,0.6048562682926828
epoch_5,0.6181466097560976
epoch_6,0.6174205609756098
epoch_4,0.6227138048780487
epoch_0,0.6459777073170732
epoch_18,0.6062879512195122
epoch_11,0.6113724390243902
epoch_16,0.6061767317073171
epoch_9,0.6119823414634147
epoch_8,0.6144478780487805
epoch_13,0.6092112439024391
