,epoch_12,epoch_1,epoch_2,epoch_7,epoch_10,epoch_15,epoch_14,epoch_17,epoch_3,epoch_19,epoch_5,epoch_6,epoch_4,epoch_0,epoch_18,epoch_11,epoch_16,epoch_9,epoch_8,epoch_13
SDSGlovesClassification,0.70725,0.7044,0.703,0.7085,0.70655,0.70485,0.7086,0.7054,0.69805,0.7065,0.6998,0.7079,0.69865,0.70715,0.706,0.71455,0.705,0.7036,0.7058,0.7049
WikipediaIsotopesFissionClassification,0.877381,0.878571,0.87381,0.879762,0.877381,0.877381,0.87619,0.875,0.871429,0.878571,0.875,0.879762,0.872619,0.885714,0.878571,0.87381,0.875,0.87619,0.878571,0.877381
PubChemSynonymPC,0.679369,0.681737,0.680167,0.679988,0.679392,0.675976,0.677001,0.673736,0.681685,0.674004,0.680529,0.68145,0.682815,0.676951,0.673897,0.679094,0.675756,0.680178,0.68215,0.677431
WikipediaCrystallographyAnalyticalClassification,0.912027,0.945017,0.939863,0.917869,0.91512,0.90756,0.907904,0.90756,0.933677,0.90756,0.92646,0.921993,0.929553,0.950515,0.90756,0.913058,0.907904,0.914433,0.916838,0.90756
WikipediaSaltsSemiconductorsClassification,0.840404,0.854545,0.862626,0.842424,0.840404,0.840404,0.839394,0.841414,0.856566,0.837374,0.855556,0.846465,0.856566,0.856566,0.838384,0.839394,0.836364,0.841414,0.839394,0.836364
PubChemSMILESPC,0.131739,0.119083,0.122102,0.127166,0.130554,0.132918,0.133139,0.132422,0.122466,0.133773,0.124961,0.125377,0.122122,0.1203,0.133399,0.132367,0.132082,0.130437,0.128513,0.132072
SDSEyeProtectionClassification,0.60925,0.6804,0.68125,0.6376,0.61965,0.6044,0.6055,0.5989,0.6666,0.59875,0.63775,0.63895,0.6598,0.69305,0.59985,0.6196,0.60375,0.6216,0.63035,0.6038
WikipediaOrganicInorganicClassification,0.845247,0.863878,0.865779,0.856274,0.849049,0.841825,0.842586,0.839924,0.861977,0.841825,0.857414,0.854753,0.856654,0.864639,0.839924,0.849049,0.841065,0.851711,0.853232,0.842205
PubChemSMILESBitextMining,0.000802,0.000538,0.000795,0.001267,0.000836,0.00089,0.00083,0.000697,0.000764,0.000763,0.001151,0.001147,0.000803,0.000927,0.000757,0.000701,0.000703,0.000893,0.001034,0.00077
WikipediaSpecialtiesInChemistryClustering,0.356149,0.353342,0.357328,0.255758,0.281621,0.37226,0.34716,0.356443,0.364219,0.360543,0.301999,0.294969,0.339267,0.354861,0.364328,0.309585,0.36822,0.284384,0.265081,0.394845
