,epoch_1,epoch_2,step_192,epoch_7,step_224,step_32,step_256,epoch_3,epoch_5,epoch_6,step_512,step_288,epoch_4,step_160,step_64,epoch_0,step_384,step_544,step_576,step_448,epoch_9,step_320,step_128,step_352,step_416,step_96,epoch_8
SDSGlovesClassification,0.60975,0.60195,0.6003,0.5958,0.59735,0.6191,0.59725,0.5963,0.59475,0.59615,0.59535,0.59665,0.59485,0.60345,0.61915,0.61965,0.5961,0.59565,0.5949,0.5947,0.5947,0.59325,0.6055,0.5952,0.5971,0.61505,0.5967
WikipediaIsotopesFissionClassification,0.884524,0.878571,0.877381,0.872619,0.878571,0.894048,0.87619,0.875,0.87619,0.877381,0.87381,0.87619,0.87381,0.879762,0.896429,0.897619,0.87619,0.872619,0.872619,0.875,0.87381,0.875,0.884524,0.875,0.87619,0.889286,0.872619
PubChemSynonymPC,0.672104,0.673371,0.678021,0.691222,0.673322,0.677272,0.680322,0.676733,0.686753,0.690021,0.690981,0.683616,0.685001,0.667066,0.67141,0.672034,0.688056,0.691139,0.690638,0.691124,0.691415,0.688778,0.672253,0.689331,0.689497,0.662724,0.690982
WikipediaCrystallographyAnalyticalClassification,0.940893,0.937113,0.937113,0.941924,0.937801,0.966323,0.936082,0.938144,0.938832,0.942268,0.941581,0.937457,0.938144,0.934021,0.963574,0.964605,0.938832,0.941924,0.941924,0.943299,0.941924,0.939175,0.937801,0.941237,0.942612,0.951546,0.941924
WikipediaSaltsSemiconductorsClassification,0.856566,0.845455,0.844444,0.837374,0.841414,0.865657,0.836364,0.837374,0.839394,0.836364,0.838384,0.838384,0.840404,0.848485,0.864646,0.862626,0.835354,0.840404,0.839394,0.837374,0.838384,0.840404,0.856566,0.837374,0.836364,0.857576,0.839394
PubChemSMILESPC,0.12299,0.118599,0.120483,0.115787,0.114716,0.12293,0.117174,0.115244,0.115143,0.116298,0.115544,0.116524,0.116436,0.117452,0.12166,0.122055,0.116805,0.115247,0.115112,0.116343,0.115661,0.11778,0.123207,0.116711,0.116625,0.12047,0.115378
SDSEyeProtectionClassification,0.6971,0.7067,0.707,0.7037,0.70745,0.6769,0.70585,0.7057,0.70315,0.70335,0.7052,0.7033,0.70385,0.7048,0.67905,0.67875,0.7037,0.7032,0.70275,0.7039,0.703,0.70405,0.69885,0.7049,0.70435,0.6873,0.70395
WikipediaOrganicInorganicClassification,0.88365,0.875285,0.871863,0.868061,0.873764,0.876806,0.872624,0.873764,0.871483,0.869582,0.868441,0.870342,0.869962,0.877567,0.88289,0.880228,0.869202,0.868061,0.8673,0.869582,0.868821,0.871103,0.878327,0.870722,0.869582,0.887452,0.868441
PubChemSMILESBitextMining,0.000725,0.00072,0.000721,0.000765,0.000772,0.000676,0.000727,0.000791,0.000736,0.000751,0.000823,0.000813,0.000802,0.000804,0.00067,0.000587,0.00078,0.00083,0.000818,0.00077,0.000747,0.000808,0.000905,0.000729,0.000783,0.000641,0.00082
WikipediaSpecialtiesInChemistryClustering,0.276737,0.297735,0.294823,0.084605,0.262249,0.350283,0.077933,0.085701,0.006066,0.006791,0.00739,0.039077,0.056412,0.309388,0.297445,0.297225,0.009988,0.008738,0.004717,0.005847,0.224294,0.023313,0.358937,0.014803,0.006011,0.318905,0.085737
